@relation 1_1

@attribute Text_data String
@attribute Classification {?,Cons,Pros}

@data
'Print Cartridges Run Out Quick and are over $60 for Large Capacity',Cons
'Storage net is difficult to access.  Pricey for a travel stroller.',Cons
'Comes with rechargeable battery and charger.',Pros
'ease of use, looks, walkie talkie',Pros
'Caller Id on the inside instead of the outside.',Cons
'Operating System Software Glitches.  Blue-Screen-Of-Death.  Lockup\'s requiring removal of battery.',Cons
None,Cons
'takes great pictures, usb smart card reader is now a free rebate item with purchase.',Pros
'Printing Speed, Print Quality, Reliable paper feed mechanism',Pros
'Black and white.',Cons
'Reception, battery life, menus',Pros
'a bit bulky, a little slow on the focus',Cons
'Black bands/coags after a few sheets',Cons
'Trendy, beat-me-if-you-can kinda model, easy to use, elegant, light-lit key pad.',Pros
'Pricey!  Camera should come with more than a 8MB memory card.  AC adapter NOT included.',Cons
'Missed Call\' function, low vibration, and large/heavy phon',Cons
'Haven\'t found any',Cons
'Easy to use',Pros
'Inexpensive and Compact',Pros
'Integrated memory not expandable(48MB).',Cons
'Great idea, Palm OS was an excellent addition',Pros
'Looks great! Lots of features!',Pros
'Hard on batteries',Cons
'Inexpensive, easy-to-use, functional',Pros
'The reception is OK.',Pros
'The sound on the phone is great.  I love the speakerphone.',Pros
'Great zoom, rechargeable batteries, wonderful quality',Pros
'For the Photo Enthusiast you will want more manual control.',Cons
'The Phone! No Bluetooth. \'Camera\'',Cons
'slow, poor quality, poor paper feed, expensive in long run',Cons
'Noisy, costly, grainy plain paper printouts, ease of changing cartridges',Cons
'haven\'t found any',Cons
'Easy to use and inexpensive',Pros
'Cheap...mine was free. easy to install. USB connection. XP friendly.',Pros
'Expensive ink, slow photo printing, requires Epson paper',Cons
'External silence button that silences phone sometimes, less than desireable ringer/vibrate options.',Cons
'Batteries Do Not Last',Cons
'small screen, uncomfortable volume buttons, no camera/bluetooth',Cons
'The size, cost, no contracts, roaming fees etc.',Pros
'Very good price, excellent quality in all functions.',Pros
Free,Pros
'HURRY OUT AND GRAB THIS OFF EVERY SHELF IN AMERICA,,',Cons
'Easy to use. Good still shots on cloudy days.',Pros
'a bit large and noisy',Cons
'Sometimes it delays after taking pic and this can be frustrating.',Cons
'none at all',Cons
'The hissing background noise. Low maximum volume. Vibration not very good.',Cons
'Battery life, lg phone size, flimsy when open, too many features',Cons
'Small Basket,canopy window placement',Cons
'Low maintenance, low price, reliable',Pros
'size, battery, internet',Pros
'None whatsoever',Cons
'small, good features',Pros
'Unecessary programs added at installation, a bit noisy.',Cons
'High resolution and fast printer for a great price.',Pros
'Nice display, good battery life, reception anywhere, cool voice dial,',Pros
'Low price for 3+ Mega pixels; Comes with a charger and AC adaptor',Pros
'Serial rather than USB connection',Cons
'Good price, high resolution, good display, sleek design',Pros
'Li-Ion 650 mAh battery, some menus and options (or the lack of them).',Cons
'Uses lots of photo paper(lol)',Cons
'Eats batteries.',Cons
'speakerphone, lightweight, very small, loud ringtones',Pros
Fast,Pros
'Cool switchable covers',Pros
'size, changeable covers, features, battery life, custom rings, infrared',Pros
'Great durability, good features for the price',Pros
'To many to list (see review)',Pros
'Lightweight yet durable, many nice features and excellent battery life!',Pros
'Really requires rechargeable batteries.',Cons
'Learning how to use it',Cons
'Price was a bit steep, and only comes with a 16mb card.',Cons
'great for photography buff as well as point and shoot person',Pros
'Volume setting too low (you cannot talk in loud areas), tiny power button.',Cons
'poor battery life',Cons
'Glass lens \'window\' is a little exposed.',Cons
'Annoying paper jams.',Cons
'horrible reception, cannot use in car, weak vibrate option, NO CALL LOG, cheap feel',Cons
'Small buttons, as most users will tell you.',Cons
'Nice and small.  Very easy to use. Rechargable battery.',Pros
'The camera was not made to be universal!',Cons
'Good clarity, many customizable features, and good size display.',Pros
'Small, Light, Cute looking, Cool White Backlight, Easy to use menus',Pros
'well made, light, smooth, stylish, one of so few strollers to hold any resale value',Pros
'You\'ll want to pick up a bigger memory card and rechargeable AA batteries',Cons
'Good reception, Neat features, OK Camera, Long Battery Life',Pros
'Great size, durable, easy to figure out.',Pros
'Big, clunky, heavy, low battery life',Cons
'Compact, easy to use',Pros
'Does not print to edge,  Discontinued for the 1280',Cons
'no a/c adapter, should come with a neck strap instead of wrist strap.',Cons
'Image quality, Functionality, Design',Pros
'Good looks, slim design, great battery life, large display',Pros
'Excellent print speed and quality',Pros
'compact size, light weight, powerful features, easy to use',Pros
'Ink cartridges are 29.00. a little slower on the ppm print spead than our epson, Ink cartridges snap in instad of drop in.',Cons
'Some neutered features, small navigation issues, and poor external display planning.',Cons
'Slightly less durable than expected.',Cons
'A lot of features, extras, flexibility and good picture quality for the money',Pros
'won\'t easily bleed to bottom edge of paper',Cons
'Usually hard to operate because of the lens cap.',Cons
'Should be 15\% smaller, no expansion slot , color screen would be way cool.',Cons
'The material is uglier than sin.',Cons
'inside pictures are poor quality.',Cons
'professional quality printing, be as creative as you want to be.',Pros
'ink doesn\'t dry up in printer, quiet, great quality, great price',Pros
'Portability, Download to Disk, Easy to Use',Pros
'Ink hungry',Cons
'inexpensive, easy to use',Pros
'long life, ink cartridges last long',Pros
'Initial cost, good image output, easy install',Pros
'Ink is expensive, but that\'s not the printer\'s fault...oh wait, its an HP!',Cons
'Cheap and has lots of bells and whistles',Pros
'color quality and dpi are lame, price too high for the unsatisfactory results, and VERY NOISY!',Cons
'very expensive for a piece of junk',Cons
'Small, convenient clarity',Pros
'It\'s small and cheap, and a great tool for taking terrible pictures.',Pros
None,Cons
'Eats batteries, 16M of memory not enough',Cons
Bulky,Cons
'Scanner/Copier/Printer, USB and Parallel Port, Good Software, All Around Good Package',Pros
'No LCD screen cover, no AF assist light,',Cons
'Price, no speakerphone, no downloads, no expansion, no bluetooth',Cons
'Great sound quality&#13;&#10;One-hand operation&#13;&#10;voice dialing&#13;&#10;one-touch headset compatible',Pros
'the menu directory was easy to use and the internal light was bright',Pros
'I have not had any problems.',Cons
'The dock is separate',Cons
'only available with Sprint PCS, no voice memo',Cons
'Terrible flash photos of people indoors.',Cons
'Can not get to many pictures on one floppy.',Cons
none,Cons
'Small, lightweight, cool, voice dial ability, predictive text input',Pros
'Full professional digital SLR',Pros
'not good for indoor pics, no zoom or lense adjustments',Cons
'No link with PC or supported way to get pics on phone',Cons
'Cartridge price',Cons
'Uses 2 standard AA Batteries. High quality photos and good zoom.',Pros
'Slim, Colorful Covers, Li-Ion Battery, Clear Reception',Pros
'Slow spool-up time (not an issue for me), Somewhat noisy',Cons
'great design',Pros
'Fabulous photos, fantastic price',Pros
'need to clean print head occasionally',Cons
'Loads of features.',Pros
'Big, heavy...somewhat complicated when using advanced features...Problems with battery life and focus.',Cons
'Small, easy to use',Pros
'Some \'design\' issues.  Cartridge life.  Expensive cartridges.',Cons
'Voice dialing for only 20 entries, price',Cons
'Fast, easy software installation, DuraBright water resistant ink.',Pros
'limited to existing lens',Cons
'takes good pictures',Pros
'No case.  Awkward zoom control',Cons
'overall design, navigation key',Cons
'Nice, Compact little camera',Pros
'The nozzles clog constantly',Cons
'Size, easy to lose',Cons
none,Cons
'It is dead now.',Cons
'isn\'t tightly integrated',Cons
'No good Win2k driver, Slow',Cons
'I loved it, it was small, cute and had great colours.',Pros
'Good value for its price, easy-to-use, good pre-loaded ringtones, color screen.',Pros
'Light, compact, and easy to use',Pros
'Superior image quality, easy to use, good documentation and software',Pros
'Very weak signals-- does not work well indoors',Cons
'Good Quality Pictures. Easy to use. Price was great!',Pros
'It breaks down, flash does not work, no proper zoom, battery dies quick.',Cons
'Battery drainer',Cons
'3.2 Megapixels, ultra compact, Improved Control Layout, tough metal body,',Pros
'in a nutshell: glitz, glamour, sass',Pros
'Great image quality, premium optics, rock-solid construction, versatility, adjustability, swivel design, attachable lenses and filters.',Pros
'Great photo quality, dependable, drivers available for Mac and PC.',Pros
'Size, no camera, poor calendar function.',Cons
'Pictures not super quality.  Image screen a little slow',Cons
Non,Pros
'Ease of use',Pros
'simple and cheap',Pros
'Tiny basket. Seatbelts could be better designed.',Cons
'3x zoom lens, battery life, price',Cons
'The batteries go dead pretty quick.',Cons
'Lightweight, free standing when folded.  Super comfy!',Pros
'Features, Design, Look, Size, Durable, Antenna, Cost for features.',Pros
Cheap,Pros
'Single band',Cons
'Can be pricey for the ink cartlidge',Cons
'Small, Lithium battery, Great colours',Pros
service,Cons
'Don\'t need to boot up the computer to make color or B&amp;W copies.',Pros
'Built well, takes great pics, easy to use, a lot of options, instructions are easy to under stand and great internet support by Olympus on answering questions.',Pros
'Easy To Use',Pros
'Lightweight and basic, simple set-up, print software',Pros
'Easy to use, great printing ,&amp; well designed.Ink can be refilled saving you $.',Pros
'Cheap among 8000 series',Pros
'The seat adjustment is tricky',Cons
'basket is too small',Cons
'Easy, cheap, fun',Pros
'Bad zoom, slow flash and no macro.',Cons
'Relatively compact compared to an SLR with similar zoom features',Pros
'Scheduler is not as great as a palm.',Cons
'the first one lasted 3 weeks before the jack went out',Cons
'Print Speed, Software, Print Quality,&amp;#13;&amp;#10;Price, Individual Ink Tanks.',Pros
'As technology has improved, this is now a middle of the road camera.',Cons
'cannot do rapid fire pictures, shutter lag, overall price, limited avail of accessories',Cons
'Fair price, good software, good photo quality.',Pros
'Not cheap',Cons
'Squeaky, Not so attractive',Cons
'can not switch it manually to analog',Cons
'Ugly Case that cost extra.&#13;&#10;No expansion module slot.',Cons
'great printing quality, great ad features',Pros
'agfa lies about product specs',Cons
'red eye, zoom must be used with LCD, batteries die fast with LCD',Cons
'Great features, nice feel, Voice activation, Bluetooth',Pros
'Download takes a long time',Cons
'Almost everything',Pros
'Borderless 4x6 and 8.5x11&amp;#13;&amp;#10;Individual ink tanks&amp;#13;&amp;#10;Six color system&amp;#13;&amp;#10;Small 4 Picoliter drops&amp;#13;&amp;#10;',Pros
'good only if you want to print letters or simple reports in black ink.',Pros
'Weak Flash, Decent Battery Life, Only 2 Resolution Settings',Cons
expensive,Cons
'good quality printing',Pros
'Ink price',Cons
'Sprint phone case opens by itself',Cons
'The editing software is quite basic and limited.',Cons
'More options than I will ever use, easy to use.',Pros
'Battery life not quite what is advertised. Antenna seems flimsy.',Cons
'takes very nice pictures',Pros
'Electronic Viewfinder Plus LCD, Excellent Fit/Grip, 8X Optical and Nikor Lens.',Pros
'Takes good photos of dead rats.',Cons
'Keeps reverting to default picture mode (HQ) each time cameram is turned off.',Cons
'Cost, compact',Pros
'no zoom',Cons
'Dual mode tech gives you signal everywhere',Pros
'Great for the price a good deal.',Pros
'It\'s generally free!  Okay sound quality.',Pros
'Camera takes great quality pictures.  SD Card and small size.',Pros
none!,Cons
cheap,Pros
'Battery life, speaker phone, durability, reception, voice calls',Pros
'Excellent Image Quality.  Nikon Optics., Compact size.',Pros
'If you need a picture/photo printer this is NOT what you are looking for.',Cons
'Poor clarity unresponsive keypad',Cons
'Terrible sound quality (On two separate M-610\'s),',Cons
'Color choice, aesthitics and general appearance of the phone.',Cons
'good color copies, fast black &amp; white printing',Pros
'speakerphone, durable, battery life',Pros
'Getting use to talk into the air.  The vibrator is more like a silence alarm.',Cons
'Costly refills (but they do last a while)',Cons
none,Cons
'Prints superbly on Glossy and Inkjet Paper',Pros
'Quality Control Issues',Cons
'Takes a long time to print the job.',Cons
'ear piece occasionally hard-to-hear in',Cons
'It goes through batteries to quickly.',Cons
'easy to use',Pros
'cheap. Easy to use.',Pros
'Cool games, lots of features!',Pros
'The battery runs out quick when using it alot.',Cons
'Unreliable, time and resource wasting machine.',Cons
'Amazing camera, very durable, easy to use.',Pros
'Battery life is slightly shorter than the Nokia 6190. Not a \'SIM\' card phone.',Cons
'everything about this camera is incredible!',Pros
'Great features',Pros
'fair price, many options, zoom, easy to use',Pros
'Size, Weight, Ease of use, Reliability, durability, now available free!!',Pros
everything,Pros
'somewhat simple',Cons
'Not so good on Macros',Cons
none,Cons
'Provides professional quality photographs',Pros
'Price, Ugly Colors',Cons
'None that compel me to write about',Pros
'B&amp;amp;W Print Quality, Speed, Reliability, Quiet, and Long-lasting Ink Cartridges',Pros
'Great  pictures!',Pros
'not really a pocketable camera. Macro capability,Red eye',Cons
'Retail price is high, no speakerphone, no games.',Cons
'Lack of control, entry-level picture quality',Cons
'No Date/Time Stamp Display, Does Noty display Min talked while still talking',Cons
'Attractive clamshell, external speaker',Pros
'Easy to use, quality 4X6 photos, Floppy disk (No USB, no memory sticks)',Pros
'light weight, easy to use',Pros
'$7.99/month to keep it activated!',Pros
'Compact size, 5 megapixel resolution, ease of use, and lots of creative photography options,',Pros
'Low cost, amazing features, totally configurable, and MUCH more.',Pros
'feature rich (calendar, calculator, games, ring types)',Pros
Loud,Cons
'good long distance reception, nice display, cheap',Pros
none,Cons
'Simple to learn how to use, clear pictures',Pros
'See Review Above',Cons
Bluetooth,Pros
'Multi mode operation',Pros
'Easy to change the ink cartridges, cool software with printer.  Great to keep as a backup printer.',Pros
'Compact size, lightweight, very much great possibilities, easy to use, familiar menu, good battery life',Pros
'warmup takes longer than the &amp;quot;ready&amp;quot; light indicates',Cons
'Great phone, easy to use',Pros
'SMALL, SLEEK, COOL, and it works well.',Pros
'Fast, good color, small margins.',Pros
'It\'s life expectancy is SHORT',Cons
'Horrible weak antenna. Get it wet and it dies',Cons
'the buttons might be somewhat difficult to use for someone with large fingers',Cons
'Features, Keys, Less User friendly...',Cons
'Can break if misused a lot.',Cons
'&amp;quot;Killer-App&amp;quot; Floppy Drive Storage; great viewfinder; intuitive menus; Sony quality',Pros
'Garbled, Varying Audio Level, Soft Vibrate',Cons
'Gulps ink.',Cons
'ink price',Cons
'For the pixel by pixel resolution still expensive investment',Cons
'Very lightweight, sturdy, lifetime warranty, safe, American-made',Pros
'Pricey. No optical zoom. Need docking station to upload or charge battery.',Cons
'Bulky, does not vibrate, poor choice of ringtones.',Cons
'Inexpensive.  Good value for the money, IF you don\'t expect the best.',Pros
'little quirks, nothing devastating',Cons
'It can get heavy at times.  The zoom is not the greatest.',Cons
'Great compact design, keyboard just the right size, lots of features!',Pros
'easy to use; good price; great pictures; good software; LCD viewfinder',Pros
'High quality prints',Pros
'size, color printing not up to photo standards',Cons
'Non-alphabetized phonebook, BUT this phone has voice activated dialing! Manual could be better.',Cons
'Fast clear print quality',Pros
'Compact size, lots of programming options',Pros
'poor battery life',Cons
'Key\'s are too close together.',Cons
'responsive, really nice resolution, feature laden',Pros
'Fun, nice software, takes decent pics for the price',Pros
'Has all the features you could want.',Pros
'Prices and Picture Quality',Pros
'earpiece volume, motorola technical support is worthless',Cons
'Equal to 35 mm. This is one of the BEST little cameras. &amp;#13;&amp;#10;A+ camera!!',Pros
'fantastic phone for little money',Pros
'Batteries die after unloading once or twice',Cons
'A LITTLE SLOW ON COLOR COPIES',Cons
'Compact, Very High Optical Quality',Pros
'Potential problems when downloading pics directly from camera to Mac (OS X).',Cons
'Bad quality at night even with flash, sometimes out of focus, Bad 2X Digital Zoom',Cons
'the shot rate',Cons
'No optical zoom, lens quality could be better',Cons
None,Cons
'Not good for photos (including B&amp;W)',Cons
'- none',Cons
'Size, Durable, Ease of use',Pros
'Won\'t print maps',Cons
'Only one color &#13;&#10;No Speaker Phone',Cons
'Half the price it used to be...Video/mp3/stills PLAYS MP3PROS!!!',Pros
'Good phone book, and customization.',Pros
'Durability, photo quality, and ease of use.',Pros
'Scarce, hard to get.',Cons
'Battery saver feature shuts off LCD too soon, battery life , electronic viewfinder',Cons
'Very unreliable, what doesn\'t stink about it?',Cons
'Quality of Photos, USB!!, ease of use, Battery life',Pros
'spotty quality on some photos, prints not great',Cons
'Initializing sometimes is a pain',Cons
'Quality pictures, LCD Display with easy-to-use menu',Pros
'REALLY should have come with a 16MB card (or better)',Cons
'very simple to use',Pros
'Manual settings, CarlZeiss lens, MPEG movie mode, InfoLithium battery',Pros
'Wished I had gotten more powerful zoom.',Cons
'manual lens cap',Cons
'Lots of problems with this printer and it\'s drivers, Parallel port only, Parallel cord not included, Uses lots of ink quickly',Cons
'Reception, not the \'latest\' model, some users may find mature interface daunting',Cons
'Cons, well this phone\'s only Con would be its price perhaps.',Cons
'cheap, decent pictures',Pros
'Tiny, cute, lightweight, many features, great volume, access to the internet',Pros
'Good battery life, nice screen, keypad is easy to use.',Pros
'Great quality images, very cheap for it\'s features and capabilities, takes videos.',Pros
'Relatively short battery life',Cons
'Good Price, Excellent Pictures',Pros
'Slow, Has had it\'s mechanical problems',Cons
'Battery door feels flimsy.',Cons
'The system has limitations locally, for now.',Cons
na,Cons
'Bad sound, cuts in and out, noone can hear you.',Cons
'HP corporate anti-customer policy',Cons
'Excellent Quality, Easy to Use, VERY SLR Like.',Pros
'No voice dialling. No infrared. Battery life could be better.',Cons
'Service sucks, feels and sounds like a Walkie-talkie, Size, ugly.',Cons
'easy to use,custom settings,compact size',Pros
'Good Pictures',Cons
'Great Photographic Printer',Pros
Cheap,Pros
'I cannot think of any.',Cons
none,Cons
'easy menu options, hard to break, and good text-messaging unit',Pros
'Loud, Not a Photo Quality Printer, No Printer Cable.',Cons
'buggy USB driver',Cons
'Too many menus, Button to view last shot taken',Cons
'Superb Auto mode, manual features, four megapixels',Pros
'Cheaply made. Dies after 2 weeks. Too hot to hold after 10 minutes',Cons
'Great image quality, stylish design, price.',Pros
'3x zoom is not true zoom.',Cons
'Battery cost, reliability',Cons
'Speaker phone, games, many different rings, calculator, etc.',Pros
'great Nokia UI, world phone, color screen, polyphonic ringtones, small size, nice design',Pros
'It is unattractive and cheap looking',Cons
'flash not great',Cons
'It is small and compact. It is easy to use.',Pros
'Large size',Cons
'2400x1200!!  Feature packed',Pros
'flash very bright, recommend a few layers of magic tape over it,  expensive and bulky',Cons
'Fast, crisp and clear printing',Pros
'Lightweight, comfortable to run behind, sturdy, easy to clean',Pros
'Great value and look',Pros
'No USB cable included, software is a bit weak',Cons
'Exif viewer and launcher are cumbersome, you will be frustrated trying to d/l w/USB port',Cons
'Quite small.  Good color for pictures',Pros
'No camera, not flip, small buttons (which could also be a pro)',Cons
'Easy to use, many settings',Pros
'Signal Reception, Coverage Area.',Cons
'stock belt clip easily broken, battery life no more than two days with regular use',Cons
'They forgot my manual! Noisy',Cons
'everything else about it',Cons
'Poor selections of ring tones, weak volume, lack of customization',Cons
'Not Acceptably Compatible with Windows NT or Windows 2000, Poor Battery Life, Poor LCD Display',Cons
'Size, Price, Picture Quality, Features',Pros
'Sometimes only rings 1-2 times (not adjustable); phone wraps obscure screen',Cons
'professional standard photos for the web',Pros
'Basket can be hard to get at when the seat is fully reclined.  Hefty price.',Cons
'price,size,materials,',Cons
'Plastic body, bad flash photography,',Cons
'Attractive styling, many features, customizable ring tones',Pros
'Decent resolution, good quality, ease of use',Pros
'NO NEW DESIGN!  Hard to push buttons, slow reaction time.',Cons
'Very Nice Printer, Exceptional Speed',Pros
'expensive, poor customer service, not the best for twins',Cons
'Easy to use.  Good quality still photos with various options in-camera.',Pros
'Inexpensive, plenty of features for the money, good sound quality.',Pros
'size, ease of use',Pros
ABOVE,Pros
'Quiet, plain paper, color printer',Pros
'Nothing yet...',Cons
'poorly designed; breaks too easily;',Cons
'Photo Quality Prints',Pros
'&amp;quot;ocean liner&amp;quot; proportions, inaccessible basket',Cons
'Affordable, Reliable',Pros
'Ink cartridge life',Pros
'Fast, sharp printing! Toner keeps going and going...easy to setup/use - attachments available',Pros
'Very good quality prints',Pros
'4 seprate ink tanks',Pros
'Great pictures! Great price! Easy to use!',Pros
'The pro for this phone is that it is very compact.',Pros
'Battery life, Picture memory, Application costs',Cons
'Easy set-up and quick printing.',Pros
'Phone, pager, 2way, internet, sms, email all in one. looks neat.',Pros
'Poorly Executed Scanner and Copier functions',Cons
'Great color display, lots of applications',Pros
'You get what you pay for.  It\'s not an HP.  Ink is expensive.',Cons
'Does not have full features.',Cons
simplicity,Pros
'Inexpensive, good reception, compact and light, nice looking, ringtones',Pros
'Sleek all metal magnesium alloy body, internal focus 4x optical zoom lense.',Pros
'Abysmal service, unintuitive interface, short battery life, random errors, etc.',Cons
'Battery life in talk mode',Cons
'You have to manually pop the flash up',Cons
'Terrible battery life &amp; horrible bundled software',Cons
'battery life',Cons
'Takes outstanding pictures.  Has more features than I expected. Very easy to use.',Pros
'Absolutely everything. Terrible picture, battery life',Cons
'big and bulky',Cons
'Lower cost than competitors, paper roll feeder included',Pros
'fair quality, Limited # of Pictures before download',Cons
'good price-great pictures',Pros
'Camera, good battery life, lots of features, sound quality',Pros
'USB, 8MB Flash, Video recording, timer.',Pros
'Very dependable',Pros
'Prints beautiful pictures on expensive photo paper.',Pros
'none found',Cons
'Easy to use, Nice Pictures, Good battery life.',Pros
'What\'s up with 32MB supplied memory??',Cons
'4 mb card too small.',Cons
'Small enough to fit in your pocket',Pros
'Bright Flash is too bright',Cons
'As of 2003, showing its age. No data or color abilities.',Cons
'Features and price.',Pros
'slightly grainy prints.',Cons
'It was cheap',Pros
'external LCD screen,199 phone book space',Pros
'Nikon quality, great photos, 4X zoom, good battery life, lots of functions',Pros
'Smaller, Inexpensive, Easy to use',Pros
'ink cartridges are costly from Epson!',Cons
'Low Battery Life',Cons
'Ease of Use w/ Numerous Camera Features',Pros
'short battery life.',Cons
'Too small, display too small',Cons
'Prints fast, installs easily, great quality prints, separate color cartridges',Pros
'Won\'t feed; keeps jamming; eventually dies like other HP products',Cons
'Cost (But still worth it)',Cons
'fast, accurate, and clean!',Pros
'Occasional freezes up.  Memory full error.',Cons
'The price of cartridges and paper, however, it is still cheaper than having photos developed.',Cons
price,Cons
'Compact Size, light, 3.2 for prints up to 8*10,movie clips as clear as my camcorder!',Pros
'Small for multifunctional printer. Other than that it\'s horrible!',Pros
'possible paper jams',Cons
'Very heavy.  Can\'t think of anything else.',Cons
'Massive Screen, Great Functionality, Bluetooth, Image Quality',Pros
'Color screen resolution, easy to navigate, loud ringer, mobile internet capability, free second battery',Pros
'A little heavy',Cons
'Speed, ink usage. Must buy usb cable.',Cons
'Wait period between shots seems long.',Cons
'Cheap, nice form factor, looks nice.',Pros
'Internal memory is small (16), no case or neckstrap, wrist strap feels flimsy',Cons
'Great for close up',Pros
'Very lightweight, Kewl Features, Excellent Phone... All Outweigh the Cons&#13;&#10;',Pros
'Rapid fading on certain papers if left unprotected.  Difficulties with paper loading.',Cons
'No USB connections on some PC\'s',Cons
'$30-35 ink cartridges',Cons
'Poorer quality than some more expensive models',Cons
'Battery life, buttons are small, frustrating to navigate through menu\'s, no games come with it.',Cons
'all-in-one device, size, color screen',Pros
'Easy to use,  Great looking photos',Pros
'ease of set up, paper feeds very well, price.',Pros
'Great printing and great price',Pros
n/a,Cons
'Price, picture quality, ease of use, macro mode',Pros
'speed, quiet, print quality',Pros
'It makes calls.',Pros
'Excellent print quality and color.  Cheapest, good quality photo inkjet on the market.',Pros
'Quick easy setup, simple USB connection with XP. User friendly options/settings menu.',Pros
'Battery life is very low',Cons
'Not very reliable, No Flash, the driver cd doesn\'t work',Cons
none,Cons
'Unreliable, unusable images at times',Cons
'Great value, many features',Pros
'Shutter lag can be a bit slow some times.',Cons
'Peg Perego no longer makes converter bars for use with other infant car seats',Cons
'Nikon quality',Pros
'Low Price, fantastic quality of image, easy to use, lots of options',Pros
'nice size, nice features like calender, calculator',Pros
Cheap,Pros
'Nice pictures, low price',Pros
'Colour quality, 640x480 video, small size, docking cradle',Pros
'It gets you wanting to use it alot',Cons
'Viewfinder only shows 80 per cent of the picture area',Cons
'image quality, battery life, usability',Cons
'Good combination of features/price/quality',Pros
'no protective cover on LCD,questionable low-light capabilities,many settings',Cons
'can take some abuse, loaded with features',Pros
'Price, not easy to steer one handed.',Cons
'The realibilty, the cost,',Pros
'Not a flip-phone!',Cons
'All, the zoom, easy to use, and the resolution.',Pros
'Pictures are easily viewed on tv via video in cable.',Pros
'drains battery quite fast',Cons
'No PC network support, poor policies, USB only, expensive and poorly stocked supplies',Cons
'Must have at least two fully charged batteries to get the most out of it.',Cons
'Takes Beautiful Pictures',Pros
'great photo quality, lcd viewfinder, movie/sound recording, easy to use',Pros
'Well designed, Well priced, Excellent capabilities',Pros
'Small, Nice Color Screen, Looks Cool.',Pros
'Hard to read display',Cons
'Nice all-in-one machine, small, decent and easy to use.',Pros
'Easy to use',Pros
'Darn near everything else.',Cons
'Cheap, cute, nokia-like look',Pros
'Hot Sync an pain in the butt.',Cons
'Video clips are 6 seconds on highest setting, red eye not always effective',Cons
none,Cons
'Good picture quality, inexpensive',Pros
'Customizable, good battery life, takes a beating',Pros
'price, performance',Pros
'Nice, white case.  Compact size.',Pros
'Text messaging,navi-roller, sliding cover, its a NOKIA',Pros
'Great, light, affordable!',Pros
'very discrete, durable, cheap',Pros
'speed, cost of black ink cartridge.',Cons
'Stylish, good performance, feature rich, tri-mode',Pros
'Production looks rushed. Manual missing features! Quality control concerns. Few extras.',Cons
'Size, quality, uses standard Compact Flash',Pros
'Cartridge cost',Cons
'USB incompatibility',Cons
'Fabulous picture quality, compact',Pros
'great looking, space saver and very convenient as well as good comfort for the little ones',Pros
'way ahead of the competition - this is practically a Digital SLR!',Pros
'Great for small workgroups. Quiet; prints quickly; few paper jams; sharp, clear printouts.',Pros
'Photo quality excellent. Built in card readers. Can print without a PC.',Pros
none,Cons
'wish there was more memory.',Cons
'Image stabilization.  10x zoom eliminates penalty of 2.1 megapixels.',Pros
'Feels awkward at first due to weight and shape, cheap lens cap &amp;amp; battery holder, and long flash delay',Cons
'Hard to push with one hand, comes with little storage.',Cons
'Jetsons Styling, High Print Quality, Mini-Me Cartridges',Pros
'Price. Features.',Pros
'Nice design, display, backlighting, and holster connector.',Pros
'Superior print quality, cheaper ink',Pros
'grainy photos',Cons
'Beautiful photos, easy to use, great exposure modes, spot meter!',Pros
'reliable, fast, good switching between phone/fax functions',Pros
'Too much noise at high ISO or low light situations.',Cons
'maybe too small for some people\'s hands, Don\'t drop this phone!!',Cons
'flexible - use as a stroller or carriage, solid and sturdy, warm with boot',Pros
'No speakerphone',Cons
'The transition from digital to analog, during a phone call, loses the caller',Cons
'See Review for product comparisons',Cons
'hard to find',Cons
'Poor battery life,Poor sound quality,constant buzzing in the background',Cons
'The usual: Better cameras are now available for around the same price.',Cons
'Small, Cheap, Durable',Pros
'Instruction Manual, difficult to learn.',Cons
'Freezes often, GSM technology not so \'hot\' everywhere.',Cons
'Impossible to take pictures in the dark even with flash. Batteries die fast.',Cons
'Size, Price, Battery Life, Style',Pros
'Rugged. Dependable. Forgiving!',Pros
'lens could be sharper at edges, focus sometimes tricky in low light',Cons
'Uses Sony Memory Stick, No Sound on MPEG Movies',Cons
'not many ringers,vibration mode is not too strong,takes a while to load sim',Cons
'Reasonable cost',Pros
'Can\'t think of any.',Pros
'Great reception in fringe areas, great clarity and super voice recognition software',Pros
'Too slow, short life of cartridges',Cons
'crisp pictures, moderately fast. easy, economical',Pros
'Came with 8mb card, no rechargeable batteries, auto ISO in dark situations not good.',Cons
'It has a camera, comes free sometimes with a signed contract.',Pros
'affordable,easy to use,fast,reliable',Pros
'The Lens (7x\'s optical zoom), 5.24 Megapixels, Gorgeous Photos, SLR-like',Pros
'No provision for add-on lenses or filters',Cons
'3.3 Megapixel resolution, size, price, picture quality.  Uses standard media.',Pros
'Application Limited',Cons
'Image Quality, compact design, speed, features',Pros
'Inexpensive, adequate pictures for casual use, rugged, relatively easy to use, good manual',Pros
'Expensive ink cartridges, Waste lots of ink clearing clogs',Cons
'Simple to use, easy set up, excellent quality prints!!!',Pros
'Black ink cart sold separately, USB only, cartridges costly, no network support',Cons
'Speed is a bit leisurely.',Cons
'Runs out of ink too quickly, cartridges are costly',Cons
'Great quality color and black and white printing for a really good price',Pros
'Compact, durable, inexpensive, easy to change faceplates and downloadable ring tones.',Pros
'navigation system not great (could be true of all phones, I don\'t know)',Cons
